id,en_name,ja_name,ja_summary
102,Nobelium,ノーベリウム,ノーベリウムは、記号 No、原子番号 102 の合成化学元素です。ダイナマイトの発明者であり科学の恩人であるアルフレッド ノーベルにちなんで名付けられました。放射性金属であるローレンシウムは、10 番目の超ウラン元素であり、アクチノイド系列の最後から 2 番目の元素です。
103,Lawrencium,ローレンシウム,ローレンシウムは、化学記号 Lr (旧 Lw)、原子番号 103 の合成化学元素です。サイクロトロン (人工放射性元素の多くを発見するために使用された装置) の発明者であるアーネスト ローレンスにちなんで名付けられました。放射性金属であるローレンシウムは、11 番目の超ウラン元素であり、アクチノイド系列の最後の元素でもあります。
104,Rutherfordium,ラザホージウム,ラザホージウムは、物理学者アーネスト ラザフォードにちなんで名付けられた、記号 Rf、原子番号 104 の化学元素です。合成元素 (実験室で作成できるが自然界には存在しない元素) であり、放射性です。最も安定した既知の同位体である 267Rf の半減期は約 1.3 時間です。元素周期表では、d ブロック元素で、第 4 列の遷移元素の 2 番目です。
105,Dubnium,ドブニウム,ドブニウムは、記号 Db、原子番号 105 の化学元素です。ロシア (モスクワ北部) のドゥブナという町にちなんで名付けられ、この町で初めて生成されました。合成元素 (実験室で生成できるが自然界には存在しない元素) であり、放射性です。最も安定した既知の同位体であるドブニウム 268 の半減期は約 28 時間です。
106,Seaborgium,シーボーギウム,シーボーギウムは、記号 Sg、原子番号 106 の合成元素です。最も安定した同位体 271Sg の半減期は 1.9 分です。最近発見された同位体 269Sg は、半減期がわずかに長い可能性があります (約 130 秒)。
107,Bohrium,ボーリウム,ボーリウムは、記号 Bh、原子番号 107 の化学元素です。デンマークの物理学者ニールス・ボーアにちなんで名付けられました。合成元素 (実験室で作成できるが自然界には存在しない元素) であり、放射性です。最も安定した既知の同位体である 270Bh の半減期は約 61 秒です。
108,Hassium,ハッシウム,ハッシウムは、記号 Hs、原子番号 108 の化学元素で、ドイツのヘッセン州にちなんで名付けられました。合成元素 (実験室で作成できるが自然界には存在しない元素) であり、放射性です。最も安定した既知の同位体である 269Hs の半減期は約 9.7 秒ですが、未確認の準安定状態である 277mHs の半減期は約 130 秒とより長い可能性があります。現在までにハッシウムの原子 100 個が合成されています。
109,Meitnerium,マイトネリウム,マイトネリウムは、記号 Mt、原子番号 109 の化学元素です。これは極めて放射性の高い合成元素 (自然界には存在しないが、実験室で作成できる元素) です。最も安定した既知の同位体であるマイトネリウム 278 の半減期は 7.6 秒です。
110,Darmstadtium,ダルムスタチウム,ダルムスタチウムは、記号 Ds、原子番号 110 の化学元素です。これは極めて放射性の高い合成元素です。最も安定した既知の同位体であるダルムスタチウム 281 の半減期は約 10 秒です。
111,Roentgenium,レントゲニウム,レントゲニウムは、記号 Rg、原子番号 111 の化学元素です。これは極めて放射性の高い合成元素 (自然界には存在しないが、実験室で作成できる元素) です。最も安定した既知の同位体であるレントゲン 282 の半減期は 2.1 分です。レントゲンは、1994 年にドイツのダルムシュタット近郊にある GSI ヘルムホルツ重イオン研究センターで初めて作成されました。
112,Copernicium,コペルニシウム,コペルニシウムは、記号 Cn、原子番号 112 の化学元素です。これは、実験室でのみ作成できる極めて放射性の高い合成元素です。最も安定した既知の同位体であるコペルニシウム 285 の半減期は約 29 秒ですが、このコペルニシウム同位体には、半減期が 8.9 分とより長い核異性体が存在する可能性があります。
113,Nihonium,ニホニウム,ニホニウムは、原子番号 113 の化学元素です。記号 Nh です。これは合成元素 (実験室で作成できるが自然界には存在しない元素) であり、極めて放射性が高いです。最も安定した既知の同位体であるニホニウム286の半減期は20秒です。
114,Flerovium,フレロビウム,フレロビウムは、記号 Fl、原子番号 114 の超重人工化学元素です。これは極めて放射性の高い合成元素です。この元素は、1998 年にこの元素が発見されたロシアのドゥブナにある合同原子核研究所のフレロフ原子核反応研究所にちなんで命名されました。
115,Moscovium,モスコビウム,モスコビウムは、周期表の記号 Mc を持ち、原子番号 115 を持つ合成超重元素の名前です。これは極めて放射性の高い元素で、最も安定した既知の同位体であるモスコビウム 289 の半減期はわずか 220 ミリ秒です。エカビスマスまたは単に元素 115 としても知られています。
116,Livermorium,リバモリウム,リバモリウムは、記号 Lv を持ち、原子番号 116 を持つ合成超重元素です。これは極めて放射性の高い元素で、研究室でのみ作成され、自然界では観測されていません。この元素は、2000 年にロシアのドゥブナにある合同原子核研究所と協力してリバモリウムを発見した米国のローレンス リバモア国立研究所にちなんで名付けられました。
117,Tennessine,テネシン,テネシンは、原子番号 117 で記号 Ts を持つ超重人工化学元素です。エカアスタチンまたは元素番号 117 としても知られるこの元素は、周期表の第 7 周期の最後から 2 番目の元素で、2 番目に重い元素として知られています。2016 年現在、15 個のテネシン原子が観測されています。2010 年に初めて合成されたときには 6 個、2012 年に 7 個、2014 年に 2 個です。
118,Oganesson,オガネソン,オガネソンは、原子番号 118、元素記号 Og の超アクチノイド元素の IUPAC 名です。エカラドンまたは元素番号 118 としても知られ、元素周期表では p ブロック元素で、第 7 周期の最後の元素です。オガネソンは現在、グループ 18 の唯一の合成元素です。
119,Ununennium,ウンウンネニウム,ウンウンネニウムは、エカフランシウムまたは単に元素 119 とも呼ばれ、記号 Uue、原子番号 119 の仮想化学元素です。ウンウンネニウムと Uue は、それぞれ恒久的な名前が決定されるまでの暫定的な IUPAC 体系名と記号です。元素周期表では、s ブロック元素、アルカリ金属、第 8 周期の最初の元素であると予想されています。
